Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Main Cuisine,Cuisine Count
Hyderabadi Charminar Biryani,Hyderabadi,,200,Kadubeesanahalli,Hyderabadi,1
Thalasery House,"Indian, Chinese, Arabian",,200,Kadubeesanahalli,Indian,3
Shakahari Company,"North Indian, Chinese, Biryani, Tandoor",3.7,300,Kadubeesanahalli,North Indian,4
BURGER BITE,"Chinese, Biryani",,300,Kadubeesanahalli,Chinese,2
Sundae Everyday Ice Creams,"Desserts, Ice Cream",,150,Kadubeesanahalli,Desserts,2
Indiana Burgers,"American, Beverages",3.8,150,Kadubeesanahalli,American,2
Bakery by Nature's Basket,Bakery,,200,Kadubeesanahalli,Bakery,1
Patz Kitchen,"North Indian, Mughlai",,300,Kadubeesanahalli,North Indian,2
Morning Vibes,Indian,,300,Kadubeesanahalli,Indian,1
Shahi Dawat Restaurant,Chinese,,250,Kadubeesanahalli,Chinese,1
Paratha Bites,"Indian, Desserts",,250,Kadubeesanahalli,Indian,2
The Dessert Zone,"Bakery, Desserts, Ice Cream, Beverages",3.7,200,Kadubeesanahalli,Bakery,4
Panda Momos,"Asian, Tibetan, Desserts, Beverages",,200,Kadubeesanahalli,Asian,4
Master	Kitchen,Indian,,200,Kadubeesanahalli,Indian,1
SRI KINGS JUICE BAR,"Beverages, Juices, Snacks",,200,Kadubeesanahalli,Beverages,3
ASIAN BISTRO,"Chinese, Thai, Indian, Seafood",,350,Kadubeesanahalli,Chinese,4
Indian Bowl Co,"North Indian, Indian",,200,Kadubeesanahalli,North Indian,2
Jaganntha restaurant,Chinese,,500,Kadubeesanahalli,Chinese,1
Manhatten Burgers,Snacks,,250,Kadubeesanahalli,Snacks,1
Shakes Planet,"Desserts, Ice Cream, Juices",,250,Kadubeesanahalli,Desserts,3
MAA TEA,Snacks,,200,Kadubeesanahalli,Snacks,1
Highway Da Dhaba,"North Indian, Chinese, Tandoor",,300,Kadubeesanahalli,North Indian,3
Aligarh Biryani,"Biryani, Chinese, South Indian, Combo, Tandoor, Beverages, Desserts",,400,Kadubeesanahalli,Biryani,7
Big Biriyani Company,"Biryani, Mughlai",,350,Kadubeesanahalli,Biryani,2
Nandhana Palace,"Biryani, Andhra, South Indian, North Indian",,500,Kadubeesanahalli,Biryani,4
Big Biriyaani,"Biryani, Indian",,400,Kadubeesanahalli,Biryani,2
PURANI DELHI,"Indian, Chinese, Biryani, Tandoor",,300,Kadubeesanahalli,Indian,4
BHOGH-teste of bengal,"Bengali, Combo",3.9,350,Kadubeesanahalli,Bengali,2
Chandni Chowk,"North Indian, Chaat, Fast Food, Combo, Snacks, Street Food, Sweets",3.8,150,Kadubeesanahalli,North Indian,7
KEBAB CAPITAL,"Kebabs, Biryani, Chinese",,300,Kadubeesanahalli,Kebabs,3
SRI DAKSHIN HAVELI,"North Indian, South Indian, Chinese, Tandoor",,300,Kadubeesanahalli,North Indian,4
Kouzina Kafe - The Food Court,"Bakery, Beverages, Desserts, American, Ice Cream, Fast Food",,200,Kadubeesanahalli,Bakery,6
slv food corner,South Indian,3.8,100,Kadubeesanahalli,South Indian,1
Bowl 99,"North Indian, Indian",3.7,200,Kadubeesanahalli,North Indian,2
AK RESTAURANT,"North Indian, Kebabs, Snacks",,400,Kadubeesanahalli,North Indian,3
meat&matka,"Biryani, North Indian, Chinese",,150,Kadubeesanahalli,Biryani,3
Green Cravings,"Healthy Food, Continental, Keto, Indian, Salads",3.4,250,Kadubeesanahalli,Healthy Food,5
Meat-UP Hearth,"North Indian, Beverages",,450,Kadubeesanahalli,North Indian,2
Ambur Basmati Biryani,"Biryani, Kebabs, Combo",,400,Kadubeesanahalli,Biryani,3
NALA BHIMA RESTAURANT,"Indian, Continental, Chinese, Desserts, Beverages",,150,Kadubeesanahalli,Indian,5
Nizam's Biryani,"Biryani, Chinese, South Indian, Beverages, Desserts",,400,Kadubeesanahalli,Biryani,5
BUDGET COMBO,"Indian, Sweets",,300,Kadubeesanahalli,Indian,2
MASTER CHEFS,"Awadhi, Punjabi",,250,Kadubeesanahalli,Awadhi,2
SRI LAKSHMI BHAVAN,"Chinese, South Indian",,140,Kadubeesanahalli,Chinese,2
MR MOMO,Chinese,,250,Kadubeesanahalli,Chinese,1
Dum Pukht Biryani,"Biryani, Kebabs",,250,Kadubeesanahalli,Biryani,2
Hyderabadi Haveli Biryani,Hyderabadi,,400,Kadubeesanahalli,Hyderabadi,1
Mehfil-E-Swaad,"Indian, Beverages, Sweets",,350,Kadubeesanahalli,Indian,3
Bombay Kulfis,"Desserts, Ice Cream",,150,Kadubeesanahalli,Desserts,2
Supriya Hot Pizza,Pizzas,,350,Kadubeesanahalli,Pizzas,1
7 DAYS KITCHEN,"Chinese, Biryani, Indian, Beverages",,300,Kadubeesanahalli,Chinese,4
Chettinad House,"Indian, Chinese",,300,Kadubeesanahalli,Indian,2
Mumbai Vada Pav no 1,"Beverages, Fast Food, Ice Cream, North Indian",,150,Kadubeesanahalli,Beverages,4
Lassi Paradise,"Desserts, Ice Cream, Juices",,250,Kadubeesanahalli,Desserts,3
SS Hotel,"Indian, Fast Food, Beverages",,200,Kadubeesanahalli,Indian,3
Paradise Biryani House,"Biryani, Combo, Chinese, Beverages",,400,Kadubeesanahalli,Biryani,4
Pure Veg Meals by Lunchbox,"North Indian, Desserts, Biryani",,200,Kadubeesanahalli,North Indian,3
LE ARABIA RESTAURANT,"Arabian, North Indian, Grill, Tandoor, Kerala, Biryani, Beverages, Chinese, Seaf...",3.4,500,Kadubeesanahalli,Arabian,9
Smokeing Tandoor,"Tandoor, Biryani, Combo, Beverages",,350,Kadubeesanahalli,Tandoor,4
Cafe Biryani,"Biryani, Chinese, North Indian, Tandoor",3.8,200,Kadubeesanahalli,Biryani,4
Kerala Spice,"Kerala, Indian, Combo",,300,Kadubeesanahalli,Kerala,3
CHINESE BAR'S,Chinese,,300,Kadubeesanahalli,Chinese,1
BALOCHI BIRYANI HOUSE,"Biryani, Indian, Chinese",,200,Kadubeesanahalli,Biryani,3
The Big Biryani House,"Biryani, Indian",,700,Kadubeesanahalli,Biryani,2
Mutton Mast Kalandar,"Biryani, North Indian",,250,Kadubeesanahalli,Biryani,2
Jing Fung Chinese,Chinese,,200,Kadubeesanahalli,Chinese,1
SWAD OF INDIA,"Indian, Biryani",,300,Kadubeesanahalli,Indian,2
EAT FRESH,Chinese,,300,Kadubeesanahalli,Chinese,1
MMQ Biryani & Kebab Center,"Biryani, Kebabs",,350,Kadubeesanahalli,Biryani,2
BARBEQUE NATIONAL,Grill,,250,Kadubeesanahalli,Grill,1
Street Zest,"Indian, Salads, Desserts",,300,Kadubeesanahalli,Indian,3
Sri Anjaneya tiffins and curries,"South Indian, Snacks",3.4,150,Kadubeesanahalli,South Indian,2
Jaipur Jalpan,"Rajasthani, North Indian, Tandoor, Combo",,200,Kadubeesanahalli,Rajasthani,4
ALL SOUTH INDIAN,"South Indian, Desserts, Beverages",,300,Kadubeesanahalli,South Indian,3
Natural Shakes & Ice Cream,Desserts,,200,Kadubeesanahalli,Desserts,1
Ranga Restaurant,"Biryani, Chinese",,400,Kadubeesanahalli,Biryani,2
Bukhara Kitchens,Awadhi,,200,Kadubeesanahalli,Awadhi,1
Khandani Biryani,"Biryani, Indian",,250,Kadubeesanahalli,Biryani,2
Momo Guy,"Asian, Tibetan, Desserts, Beverages",,200,Kadubeesanahalli,Asian,4
EAT IT,"North Indian, Chinese, Snacks",,300,Kadubeesanahalli,North Indian,3
MBA in Khichdi,"Indian, Snacks",,300,Kadubeesanahalli,Indian,2
ROLLS AND NOODLES JUNCTION,"North Indian, Chinese, Biryani",,300,Kadubeesanahalli,North Indian,3
ANDE KA NAWAB,"North Indian, Chinese, Biryani",,250,Kadubeesanahalli,North Indian,3
Panjabi Tadka,"North Indian, Punjabi, Chinese",,350,Kadubeesanahalli,North Indian,3
The Bengal Club,Bengali,3.8,500,Kadubeesanahalli,Bengali,1
Pot Dum Biryani,"Biryani, Kebabs, Combo",,400,Kadubeesanahalli,Biryani,3
Domino's Pizza,Pizzas,,400,Kadubeesanahalli,Pizzas,1
NYSF Burgers,"Fast Food, Snacks",,200,Kadubeesanahalli,Fast Food,2
KWALITY COOL POINT,"Beverages, Desserts, Fast Food",,200,Kadubeesanahalli,Beverages,3
Biryani By Kilo,"Biryani, Hyderabadi, Lucknowi, Kebabs, Mughlai, Desserts, Beverages",3.9,500,Kadubeesanahalli,Biryani,7
Rajdhani Restaurant,"Chinese, North Indian",,250,Kadubeesanahalli,Chinese,2
BOWL  199,North Indian,,300,Kadubeesanahalli,North Indian,1
Anand Sweets and Savouries,"Sweets, North Indian, Desserts, Snacks",,300,Kadubeesanahalli,Sweets,4
Gilly's Kitchens,"Indian, Kebabs",,350,Kadubeesanahalli,Indian,2
A2Snacks,"Chinese, Indian, Snacks",,200,Kadubeesanahalli,Chinese,3
Chinese Chings,Chinese,,300,Kadubeesanahalli,Chinese,1
Five Star Chicken,Fast Food,,300,Kadugodi,Fast Food,1
ZAZA 22 Spice Biryani,"Biryani, North Indian, Mughlai",,250,Kadugodi,Biryani,3
Absolute Shawarma,"Arabian, Mexican",3.7,250,Kadugodi,Arabian,2
Chandrika Tiffins,North Indian,,150,Kadugodi,North Indian,1
Vatika Veg,"North Indian, Fast Food, Desserts",,250,Kadugodi,North Indian,3
Just Shawarma,Arabian,,200,Kadugodi,Arabian,1
 Potful - Claypot Biryanis,"Biryani, Kebabs, North Indian, Mughlai",,500,Kadugodi,Biryani,4
CHINESE ROYAL KITCHEN,"Chinese, Fast Food",,200,Kadugodi,Chinese,2
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Beverages, Desserts, Ice Cream, Combo, Waffle, Bakery, Healthy Food",3.7,250,Kadugodi,Beverages,7
WarmOven Cakes & Desserts,"Bakery, Desserts, Beverages",,200,Kadugodi,Bakery,3
The Kim Chi Chef,"Thai, Chinese",3.9,400,Kadugodi,Thai,2
Kwality Walls Frozen Dessert and Ice Cream Shop,"Ice Cream, Desserts",,300,Kadugodi,Ice Cream,2
Pizza Hut,Pizzas,3.5,350,Kadugodi,Pizzas,1
Kolkata Famous Kati Roll,Fast Food,,100,Kadugodi,Fast Food,1
ANDHRA SPICE HUB,"Andhra, Biryani, Indian",,350,Kadugodi,Andhra,3
SNACAFE,"Chinese, Beverages",,250,Kadugodi,Chinese,2
RAPTHARR FOOD COURT,"Indian, Chinese, Biryani, Kebabs",,200,Kadugodi,Indian,4
BOX8 - Desi Meals,"North Indian, Biryani, Fast Food, Desserts",,250,Kadugodi,North Indian,4
Ghar Ki Yaad,Chinese,,200,Kadugodi,Chinese,1
Home Food,North Indian,,150,Kadugodi,North Indian,1
Imperio Restaurant,"Chinese, South Indian, North Indian, Continental, Desserts, Kerala, Beverages, M...",3.8,500,Kadugodi,Chinese,8
Taishty,"Chinese, North Indian",,150,Kadugodi,Chinese,2
T3 Rolls & Momos,"Chinese, Snacks",,300,Kadugodi,Chinese,2
Pavilion - A Multi-Cuisine Collection,"North Indian, Asian, Chinese, Mughlai, Biryani",,500,Kadugodi,North Indian,5
RUCHIRA,"Chinese, Indian",,300,Kadugodi,Chinese,2
BOB - Binge Over Burgers,"American, Continental, Snacks",,400,Kadugodi,American,3
BENGALI  HOTEL,"North Indian, Indian, Biryani, Snacks, Thalis",,300,Kadugodi,North Indian,5
The Parotta Combo,North Indian,,250,Kadugodi,North Indian,1
The Tandoori Tales,"North Indian, Chinese, Mughlai, Biryani",,500,Kadugodi,North Indian,4
Natural Ice Cream,Ice Cream,,150,Kadugodi,Ice Cream,1
KFC,"American, Snacks, Biryani",,400,Kadugodi,American,3
Cold Stone Creamery,"Ice Cream, Desserts, Beverages",,200,Kadugodi,Ice Cream,3
INDRESH SWEETS CHATS,Indian,,300,Kadugodi,Indian,1
Biriyani Bite - Pakka Naati Style,"North Indian, Indian",,199,Kadugodi,North Indian,2
Kaati Zone Rolls & Wraps,"Fast Food, Beverages",,200,Kadugodi,Fast Food,2
NATURAL FOOD CAFE,"Pizzas, South Indian, North Indian, Chinese",,400,Kadugodi,Pizzas,4
Zomoz - The Momo Company,"Tibetan, Chinese, Asian, Street Food, Fast Food",3.5,250,Kadugodi,Tibetan,5
AMBUR HOT DUM BIRIYANI,Biryani,3.5,150,Kadugodi,Biryani,1
"Vindhwashni Bakers, Confectioners & Florist",Desserts,,300,Kadugodi,Desserts,1
Rice N Easy,Indian,,200,Kadugodi,Indian,1
NH1 Bowls - Highway To North,"North Indian, Punjabi",3.8,250,Kadugodi,North Indian,2
The Happy Punjabi Kitchen,"Chinese, North Indian, Sweets, Punjabi",,600,Kadugodi,Chinese,4
Madras Meal Company,"Chettinad, South Indian",,250,Kadugodi,Chettinad,2
ScoopsVille,"Fast Food, Desserts, Beverages",,100,Kadugodi,Fast Food,3
The Hot and Sweet Chinese,"Chinese, North Indian",,600,Kadugodi,Chinese,2
PVR Cafe,"Snacks, Fast Food, Beverages",,250,Kadugodi,Snacks,3
The Bawarchi,"Andhra, South Indian, Hyderabadi, North Indian, Indian, Biryani, Tandoor, Home F...",3.7,200,Kadugodi,Andhra,8
Paanchforon,"Chinese, Indian, Bengali",,300,Kadugodi,Chinese,3
Domino's Pizza,Pizzas,,400,Kadugodi,Pizzas,1
Sundae Everyday Ice Creams,"Ice Cream, Desserts",,100,Kadugodi,Ice Cream,2
Sai Krishna snacks & Dinner,"Thalis, Chinese, Snacks, Indian",,160,Kadugodi,Thalis,4
Abhiruchi Restaurant,"North Indian, Andhra",,400,Kadugodi,North Indian,2
SIZZLERS PIZZA INN,"Italian, Continental",,300,Kadugodi,Italian,2
TUMMY FULL,South Indian,,150,Kadugodi,South Indian,1
Moms Cook House,"South Indian, Street Food",,400,Kadugodi,South Indian,2
Orbis Restaurant,"North Indian, Chinese, Beverages, Ice Cream",3.6,300,Kadugodi,North Indian,4
CURRIES @99,South Indian,,198,Kadugodi,South Indian,1
Andhra Tiffin Room,South Indian,,200,Kadugodi,South Indian,1
Goli Vada Pav No .1,"Maharashtrian, North Indian, Street Food",,100,Kadugodi,Maharashtrian,3
Taco Bell,Mexican,,300,Kadugodi,Mexican,1
HOI FOODS,"Chinese, Indian",,200,Kadugodi,Chinese,2
Momos & Meals,Chinese,,300,Kadugodi,Chinese,1
Indiana Burgers,"American, Fast Food, Desserts",,200,Kadugodi,American,3
Momo Monk,"Pan-Asian, Chinese",,350,Kadugodi,Pan-Asian,2
Angaar Pizza,Pizzas,,300,Kadugodi,Pizzas,1
Tandoor House,"Indian, Chinese",,400,Kadugodi,Indian,2
Hao Chi,"Chinese, Thai, Pan-Asian, Asian, Desserts",3.9,400,Kadugodi,Chinese,5
SASSY SOUTH,"South Indian, Chinese, Fast Food, Snacks, Beverages",,250,Kadugodi,South Indian,5
Biryani Mount,"Biryani, North Indian",3.8,400,Kadugodi,Biryani,2
SANTRUPTI BIRIYANI MANE,"Biryani, Chinese",,250,Kadugodi,Biryani,2
Mumbai Kulfi,"Desserts, Ice Cream",,100,Kadugodi,Desserts,2
Snack House,Street Food,3.7,300,Kadugodi,Street Food,1
Chatora Chaat Corner,North Indian,3.7,100,Kadugodi,North Indian,1
Ludos Pizza,Pizzas,,300,Kadugodi,Pizzas,1
Slurpy Shakes,Beverages,,150,Kadugodi,Beverages,1
MOMO Singh,"Chinese, Snacks, Indian, North Indian, Bengali",,150,Kadugodi,Chinese,5
Andhra Ruchi's,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",,500,Kadugodi,Andhra,6
Pastas By Pizza Hut,"Pastas, Pizzas, Italian, Fast Food, Beverages",,300,Kadugodi,Pastas,5
Thalaivars Biryani,"Andhra, Biryani, Hyderabadi, South Indian, Indian, Beverages",,300,Kadugodi,Andhra,6
The Sweet Tooth,"Bakery, Desserts",,300,Kadugodi,Bakery,2
BANGARAPETE PANIPURI JUICE AND ICE CREAM,"Chaat, Snacks",,200,Kadugodi,Chaat,2
YUMMY SWEETS & SNACKS,Indian,,50,Kadugodi,Indian,1
Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",,600,Kadugodi,North Indian,6
REFRESHMENT JUNCTION,Juices,,200,Kadugodi,Juices,1
Mega Biryani,"Biryani, Hyderabadi, Indian",,400,Kadugodi,Biryani,3
The Biryani Life,"Biryani, Hyderabadi, Lucknowi, North Indian, Mughlai, Desserts",,250,Kadugodi,Biryani,6
Angel's Kitchen,"North Indian, South Indian, Chinese, Seafood, Snacks, Fast Food",,200,Kadugodi,North Indian,6
Hyderabadi Biryani Park,"Biryani, Indian, North Indian, South Indian",3.6,300,Kadugodi,Biryani,4
Mealful Rolls - Meals in a Roll,"Fast Food, North Indian, Desserts",,250,Kadugodi,Fast Food,3
Burger It Up,"American, Continental, Beverages, Desserts, Fast Food",,200,Kadugodi,American,5
Neerav Chinese Cusine,Beverages,3.9,240,Kadugodi,Beverages,1
Paratha Envy,North Indian,,249,Kadugodi,North Indian,1
Andhra Gunpowder,"Andhra, Biryani, South Indian",,350,Kadugodi,Andhra,3
Chef Bakers,Desserts,,300,Kadugodi,Desserts,1
Chintu's chaat ke chatkare,"Indian, Desserts, Snacks",,200,Kadugodi,Indian,3
maan passand,"Continental, Snacks, Seafood",,100,Kadugodi,Continental,3
SLAY Coffee,"Beverages, Desserts",3.6,200,Kadugodi,Beverages,2
Red Rhino,"Indian, Pizzas, Pastas, Pan-Asian, Kebabs, Desserts, Beverages, North Indian, Ch...",,600,Kadugodi,Indian,9
sudhabhavan,"Sweets, Snacks",,200,Kadugodi,Sweets,2
Kouzina Kafe - The Food Court,Indian,,200,Kadugodi,Indian,1
Burger King,American,,350,Kadugodi,American,1
Break fast house,"Indian, South Indian",,250,Kadugodi,Indian,2
Solo Meals,Indian,,300,Kadugodi,Indian,1
BENGALURU STREET DONNE BIRIYANI,Biryani,,300,Kadugodi,Biryani,1
Apsara Ice Creams,"Ice Cream, Desserts",,150,Kadugodi,Ice Cream,2
Muziriz the taste of Malabar,"Kerala, Biryani",,350,Kadugodi,Kerala,2
Itminaan Biryani - Dum Pukht,"Biryani, North Indian, Mughlai",3.8,400,Kadugodi,Biryani,3
Biryani Trip,"Biryani, Hyderabadi, Indian",,400,Kadugodi,Biryani,3
GOWDRU GAMMATHU,"Biryani, South Indian, Beverages",,250,Kadugodi,Biryani,3
Si Pizza,"Italian, Pizzas",,300,Kadugodi,Italian,2
Imperio Juice and Cafe,Juices,3.0,250,Kadugodi,Juices,1
The Good Bowl,"North Indian, Punjabi, Biryani, Chinese, Beverages, Desserts, Jain, Indian, Hyde...",3.9,400,Kadugodi,North Indian,9
Chullah Chandigarh,Indian,,200,Kadugodi,Indian,1
Belgian Waffle Factory,Desserts,,300,Kadugodi,Desserts,1
Yummy foods,South Indian,,120,Kadugodi,South Indian,1
McDonald's,"Burgers, Beverages, Cafe, Desserts",,400,Kadugodi,Burgers,4
Sweet Truth - Cake and Desserts,"Ice Cream, Bakery, Desserts, Beverages",,450,Kadugodi,Ice Cream,4
BAKERY 24x7,Bakery,,300,Kadugodi,Bakery,1
McCafe by McDonald's,"Beverages, Desserts",,250,Kadugodi,Beverages,2
Tandoori Zone,"Tandoor, Indian, Chinese, Biryani, Mughlai",3.3,300,Kadugodi,Tandoor,5
Punjab Beat,"Indian, North Indian",,200,Kadugodi,Indian,2
That Bangalore Place,"Indian, Chinese",3.8,400,Kadugodi,Indian,2
The Great Indian Food Court,"Fast Food, Snacks",,300,Kadugodi,Fast Food,2
Faasos - Wraps & Rolls,"Snacks, Beverages, Desserts, Indian",3.8,200,Kadugodi,Snacks,4
Pinky's Kitchen,"Indian, Bengali, Desserts",,300,Kadugodi,Indian,3
Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",,500,Kadugodi,Biryani,8
Sun Shine Restaurant,"Chinese, Indian, Tandoor, Biryani, Combo",,200,Kadugodi,Chinese,5
Sapthagiri Smart Foods,Indian,,400,Kadugodi,Indian,1
Food Zone,"Indian, Chinese",,200,Kadugodi,Indian,2
Asian Fiction,"Asian, Chinese, Thai, Vietnamese, Malaysian, Sushi, Japanese",3.8,500,Kadugodi,Asian,7
LIMRAS RESTAURANT,"North Indian, Kebabs, Biryani, Snacks",,250,Kadugodi,North Indian,4
Haveli Hyderabadi Dum Biriyani,"Indian, Biryani",,350,Kadugodi,Indian,2
The Dessert Zone,Desserts,,200,Kadugodi,Desserts,1
New Udupi Garden Veg Restaurant,"Chinese, North Indian, South Indian, Chaat",,300,Kadugodi,Chinese,4
Absolute Momo Cafe,Chinese,3.7,250,Kadugodi,Chinese,1
Aariya Cafe,"North Indian, Chinese, Indian, Beverages, Ice Cream",3.2,300,Kadugodi,North Indian,5
UJWAL'S HOTEL,"Indian, Biryani, Snacks",,200,Kadugodi,Indian,3
Udupi Garden By Udupi Cafe,"Indian, Chinese",,150,Kadugodi,Indian,2
McDonald's Gourmet Burger Collection,"Burgers, Beverages, Cafe, Desserts",3.3,600,Kadugodi,Burgers,4
BigBites,"Street Food, Tex-Mex",,300,Kadugodi,Street Food,2
Arogya Thaana,"Desserts, Fast Food, Beverages",,300,Kadugodi,Desserts,3
CAKE 24x7,"Bakery, Desserts",,200,Kadugodi,Bakery,2
Village Hut foods,Indian,,300,Kadugodi,Indian,1
Cupcake Bliss Cakes & Desserts,"Bakery, Desserts, Beverages",,200,Kadugodi,Bakery,3
Fish Hub,"Indian, Seafood, Snacks",,200,Kadugodi,Indian,3
BIRIYANI EXPRESS,"Biryani, Indian, Fast Food",,300,Kadugodi,Biryani,3
Ghee and Turmeric,"North Indian, Tandoor, Punjabi, Beverages, Desserts, Mughlai",,500,Kadugodi,North Indian,6
Baskin Robbins,Desserts,,200,Kadugodi,Desserts,1
Cream Hut,"Ice Cream, Desserts",,200,Kadugodi,Ice Cream,2
Nuskha   E - Mughlai,"Mughlai, North Indian",,500,Kadugodi,Mughlai,2
Koli Hut,Fast Food,,250,Kadugodi,Fast Food,1
New Food Park,"Fast Food, Snacks",,200,Kadugodi,Fast Food,2
Tandoor Garage,"Biryani, Chinese, Arabian, Tandoor",,150,Kadugodi,Biryani,4
Meat and Eat - Kadugodi,Mexican,,200,Kadugodi,Mexican,1
the accidental Engineer,"Continental, North Indian",,300,Kadugodi,Continental,2
MAMATHA'S HOME FOOD,South Indian,,150,Kadugodi,South Indian,1
Pure Veg Meals by Lunchbox,"North Indian, Desserts, Biryani",3.5,200,Kadugodi,North Indian,3
The Spice Studio,"Biryani, Hyderabadi, Andhra, Nepalese, Snacks",,290,Kadugodi,Biryani,5
The Hyderabadi Kitchen,"Indian, Biryani",,300,Kadugodi,Indian,2
RKsia food,Indian,,349,Kadugodi,Indian,1
Rangamati Bengali Cuisine,Bengali,3.0,300,Kadugodi,Bengali,1
A2Z MOMO KING,"Chinese, Snacks",,200,Kadugodi,Chinese,2
Petuk,"Chinese, North Indian, Bengali, Mughlai",3.8,400,Kadugodi,Chinese,4
Reddys Restaurant,"Chinese, South Indian, North Indian, Andhra",,500,Kadugodi,Chinese,4
Bikram Sweets and snacks,"Sweets, Snacks",,200,Kadugodi,Sweets,2
Vijayawada tiffins,"South Indian, Indian",,250,Kadugodi,South Indian,2
Home Meals,"Thalis, North Indian, Home Food",,300,Kadugodi,Thalis,3
Bengaluru Biriyani Co,"North Indian, Biryani",,350,Kadugodi,North Indian,2
Kekou,Chinese,,800,Kadugodi,Chinese,1
Chaayos Chai+Snacks=Relax,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, S...",,250,Kadugodi,Bakery,9
Anand Sweets and Savouries,"Sweets, North Indian, Desserts, Snacks",,150,Kadugodi,Sweets,4
UDUPI CAFE,"North Indian, South Indian, Chinese",,200,Kadugodi,North Indian,3
Teaholic- The Kullad Tea,"Beverages, Fast Food, Snacks",,199,Kadugodi,Beverages,3
Momo Zone - The Momo Company,"Chinese, Fast Food, Snacks",,200,Kadugodi,Chinese,3
KOLKATA FAMOUS KATTI ROOLL,Snacks,3.5,100,Kadugodi,Snacks,1
BANGARPET MERU CHATS,Chaat,,100,Kadugodi,Chaat,1
HASANAMBHA IYENGARS PASTRIES PALACE,"Bakery, Juices, Beverages, Sweets",,100,Kadugodi,Bakery,4
GHAROYANA,Fast Food,,300,Kadugodi,Fast Food,1
Cafe Mumbai,"Street Food, Chinese",,100,Kadugodi,Street Food,2
Grow Fit,"Healthy Food, Keto, Indian, Biryani, Thai",,300,Kadugodi,Healthy Food,5
Odia Oota,Indian,,200,Kadugodi,Indian,1
Mad Over Donuts,Desserts,,200,Kadugodi,Desserts,1
Taste of North,North Indian,,400,Kadugodi,North Indian,1
Biryani Place,"Biryani, Snacks, Ice Cream, Desserts, North Indian",,300,Kadugodi,Biryani,5
Dahi Besar,"Bengali, Oriya, Seafood, South Indian, Thalis",3.7,200,Kadugodi,Bengali,5
BENGALURU STREET BARBEQUE,"Barbecue, Chinese, American",,300,Kadugodi,Barbecue,3
Krispy Kreme,"Desserts, Beverages",,170,Kadugodi,Desserts,2
BANGALORE BIRYANI PALACE,"Indian, Chinese",,300,Kadugodi,Indian,2
Lara Foods,"Andhra, South Indian, Hyderabadi, North Indian, Indian, Biryani, Home Food, Fast...",,200,Kadugodi,Andhra,8
Wendy's,"American, Burgers, Fast Food, Beverages, Snacks",3.7,200,Kadugodi,American,5
LEMON LEAF,"Indian, Tandoor, Chinese",,300,Kadugodi,Indian,3
Mris Cup Cake,Desserts,,300,Kadugodi,Desserts,1
FACE CAKE (THE PASTRY HUB),Bakery,,900,Kadugodi,Bakery,1
Sri Sai Palace,"South Indian, North Indian, Chinese, Chaat, Beverages",,150,Kadugodi,South Indian,5
Gowdru Mane Uta,"Biryani, South Indian",,400,Kadugodi,Biryani,2
Kabab Mandra,"Kebabs, Beverages, Chinese",,350,Kadugodi,Kebabs,3
Hard Rock Cafe - Whitefield,"American, Continental, Indian",3.7,900,Kadugodi,American,3
Chakh-Na,"North Indian, Arabian, Kebabs",,350,Kadugodi,North Indian,3
Shanghai Court,Chinese,,500,Kadugodi,Chinese,1
Food Choice,"Snacks, Bengali",,200,Kadugodi,Snacks,2
Hotel Prithvi,"Snacks, Chinese",,200,Kadugodi,Snacks,2
YUMMY TUMMY,"Indian, Chinese",,250,Kadugodi,Indian,2
Paper Boat Foods,"Snacks, Beverages",,400,Kadugodi,Snacks,2
The New Halli Mane Restaurant,South Indian,,250,Kadugodi,South Indian,1
Bombay Kulfis,"North Indian, Desserts",,100,Kadugodi,North Indian,2
HOTEL MANU,"Chinese, North Indian, Tandoor, Seafood",,350,Kadugodi,Chinese,4
Kathi Junction,"Fast Food, Indian, Beverages",,200,Kadugodi,Fast Food,3
SHAKES N ROLLS,"Beverages, Ice Cream, Juices",,250,Kadugodi,Beverages,3
LunchBox - Meals and Thalis,"North Indian, Punjabi, Combo, Biryani, Healthy Food, Jain, Thalis, Indian, Mughl...",3.8,200,Kadugodi,North Indian,9
Hotel Uttam Sagar,"Chinese, North Indian, Continental, Fast Food, Punjabi",,249,Kadugodi,Chinese,5
Mehfil Biryani by Zakir Khan,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Desserts, Beverage...",,350,Kadugodi,Biryani,8
Hoisin,"Chinese, Snacks",,499,Kadugodi,Chinese,2
Panchayat,"North Indian, Snacks, Desserts",,499,Kadugodi,North Indian,3
Mangalore Kitchen,Indian,,600,Kadugodi,Indian,1
WOW TAVA SHWARMA,"Arabian, Combo",,200,Kadugodi,Arabian,2
One for the Road,"Chinese, Continental, North Indian, South Indian, American, Desserts, Seafood",,800,Kadugodi,Chinese,7
Angaar Biryani,"Beverages, Biryani, Chinese, Mughlai, North Indian, Seafood",,300,Kadugodi,Beverages,6
